Author,Geographic Location,Century(s) of Author Lifetime\Birth-Death Dates,Work Title,Date Range of Work,URN,Genre,Notes
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in Joannem (catena integra) (e codd. Paris. Coislin. 23 + Oxon. Bodl. Auct. T.1.4),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg005.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Supplementum et varietas lectionis ad catenam in evangelium sancti Lucae (e cod. Oxon. Bodl. Laud. 33),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg006.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Supplementum et varietas lectionis ad catenam in evangelium sancti Joannis (e cod. Bodl. B.),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg007.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in Acta (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg008.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Romanos (typus Vaticanus) (e cod. Oxon. Bodl. Auct. E.2.20 [= Misc. 48]) ,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg010.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Romanos (typus Monacensis) (e cod. Monac. gr. 412),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg011.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam i ad Corinthios (typus Vaticanus) (e cod. Paris. gr. 227) ,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg012.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ii ad Corinthios (catena Pseudo‑Oecumenii) (e cod‑ Paris‑ gr‑ 223),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg013.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Galatas (typus Parisinus) (e cod. Coislin. 204),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg019.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Ephesios (typus Parisinus) (e cod. Coislin. 204),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg020.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Philippenses (typus Parisinus) (e cod. Coislin. 204),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg021.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Colossenses (typus Parisinus) (e cod. Coislin. 204),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg022.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam i ad Thessalonicenses (typus Parisinus) (e cod. Coislin. 204) ,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg023.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ii ad Thessalonicenses (typus Parisinus) (e cod. Coislin. 204),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg024.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam i ad Timotheum (e cod. Paris. Coislin. 204),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg034.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ii ad Timotheum (e cod. Paris. Coislin. 204) ,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg035.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Titum (e cod. Paris. Coislin. 204),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg036.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Philemonem (e cod. Paris. Coislin. 204) ,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg037.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam ad Hebraeos (e cod. Paris. Coislin. 204) ,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg038.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam Jacobi (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg040.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam Petri i (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg041.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam Petri ii (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg042.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam Joannis i (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg043.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE, Catena in epistulam Joannis ii (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg044.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam Joannis iii (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg045.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in epistulam Juda (catena Andreae) (e cod. Oxon. coll. nov. 58),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg046.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlgX01.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlgX02.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,,500 CE-600 CE,urn:cts:greekLit:tlg4102.tlgX03.opp-grc1,Catenae\Biblical Commentaries,
Certamen Homeri et Hesiodi,Greece,300 BCE-200 CE,Certamen Homeri et Hesiodi,300 BCE-200 CE,urn:cts:greekLit:tlg1252.tlg002.1st1K-grc1,Narrative Fiction,Huge date range for this work
Chronicon Paschale (Anonymous),Turkey,700 CE,Chronicon Paschale,700 CE,urn:cts:greekLit:tlg2371.tlg001.opp-grc1,Chronography\Historical Texts,Written in the Byzantine empire
Claudius Ptolemaeus,"Alexandria, Egypt",200 CE,Syntaxis Mathematica,127 CE-146 CE,urn:cts:greekLit:tlg0363.tlg001.1st1K-grc1,Mathematical Texts,"From Brill: ""His astronomical treatise, the Almagest, was completed before AD 147 - it includes observations which took place between March 127 and February 141."""
Claudius Ptolemaeus,"Alexandria, Egypt",200 CE,Apotelesmatica (= Tetrabiblos),147 CE-170 CE,urn:cts:greekLit:tlg0363.tlg007.opp-grc2,Astrology,
Claudius Ptolemaeus,"Alexandria, Egypt",200 CE,Musica,147 CE-170 CE,urn:cts:greekLit:tlg0363.tlg011.1st1K-grc1.xml ,Musical theory,
Clemens Romanus,"Rome, Italy",100 CE,Epistula I ad Corinthios,20 CE-100 CE,urn:cts:greekLit:tlg1271.tlg001.1st1K-grc1,Ecclesiastical texts,
Clemens Romanus,"Rome, Italy",100 CE,Epistula II ad Corinthios,20 CE-100 CE,urn:cts:greekLit:tlg1271.tlg002.1st1K-grc1,Ecclesiastical texts,
Clement Of Alexandria,"Alexandria, Egypt",200 CE-300 CE,Protrepticus,190 CE-215 CE,urn:cts:greekLit:tlg0555.tlg001.opp-grc1,Philosophy\Theology,
Clement Of Alexandria,"Alexandria, Egypt",200 CE-300 CE,Paedagogus,190 CE-215 CE,urn:cts:greekLit:tlg0555.tlg002.opp-grc1,Philosophy\Theology,
Clement Of Alexandria,"Alexandria, Egypt",200 CE-300 CE,Stromateis,190 CE-215 CE,urn:cts:greekLit:tlg0555.tlg004b.opp-grc1,Philosophy\Theology,
Clement Of Alexandria,"Alexandria, Egypt",200 CE-300 CE,Eclogae propheticae ,190 CE-215 CE,urn:cts:greekLit:tlg0555.tlg005.opp-grc1,Philosophy\Theology,
Clement Of Alexandria,"Alexandria, Egypt",200 CE-300 CE,Quis dives salvetur,190 CE-215 CE,urn:cts:greekLit:tlg0555.tlg006.opp-grc1,Homilies,
Clement Of Alexandria,"Alexandria, Egypt",200 CE-300 CE,Excerpta ex Theodoto,190 CE-215 CE,urn:cts:greekLit:tlg0555.tlg007.opp-grc1,Theology,
Cleomedes,Greece,100 BCE-400 CE,De motu circulari corporum caelestium,100 BCE-400 CE,urn:cts:greekLit:tlg1272.tlg001.1st1K-grc1,Astronomy,"""Author of an astronomical teaching manual, who lived between  Poseidonius and  Ptolemy (whom he does not quote)"". TLG gives 200 CE. Much discussion around dating of the work"
Cleonides,Greece,100 CE-200 CE,Introductio Harmonica,100 CE-200 CE,urn:cts:greekLit:tlg0361.tlg001.opp-grc1,Musical theory,"Various datings, uncertain location"
Cyrillus Alexandrinus,"Alexandria, Egypt",400 CE-500 CE,In XII Prophetas,412 CE-428 CE,urn:cts:greekLit:tlg4090.tlg001.1st1K-grc1,Exegetical texts,
Cyrillus Alexandrinus,"Alexandria, Egypt",400 CE-500 CE,Preface In XII Prophetas,412 CE-428 CE,urn:cts:greekLit:tlg4090.tlg001.1st1K-lat1,Exegetical texts\Preface,
Cyrillus Alexandrinus,"Alexandria, Egypt",400 CE-500 CE,Citatorum In Cyrilli In XII Prophetas,412 CE-428 CE,urn:cts:greekLit:tlg4090.tlg001.1st1K-lat2,Exegetical texts\Citations,
Cyrillus Alexandrinus,"Alexandria, Egypt",400 CE-500 CE,Index In Cyrilli In XII Prophetas,412 CE-428 CE,urn:cts:greekLit:tlg4090.tlg001.1st1K-lat3,Exegetical texts\Index,
David the Invincible,"Alexandria, Egypt",600 CE,In Porphyrii isagogen commentarium,500 CE-600 CE,urn:cts:greekLit:tlg4021.tlg002.opp-grc1,Commentaries,Armenia
David the Invincible,"Alexandria, Egypt",600 CE,Prolegomena philosophiae,500 CE-600 CE,urn:cts:greekLit:tlg4021.tlg001.opp-grc1,Commentaries,Armenia
Dexippus,"Quinassrin, Syria",400 CE,In Aristotelis Categorias Commentarium,340 CE-360 CE,urn:cts:greekLit:tlg2036.tlg001.opp-grc1,Commentaries,""".'s Commentaries, his sole extant work, was probably written in the mid 4th cent. AD."". Student of Iamblichus, of Chalcis (Chalcis in Syria)"
Dionysius Calliphontis,Greece,200 CE,Descriptio Graeciae,200 CE,urn:cts:greekLit:tlg0069.tlg001.1st1K-grc1,Geographical Texts,
Dionysius Corinthius,"Corinth, Greece",200 CE,Fragmenta,170 CE,urn:cts:greekLit:tlg1329.tlg001.1st1K-grc1,Epistles,
Dionysius Halicarnassus,"Bodrum, Turkey\Rome, Italy",100 BCE,Libri secundi de antiquis oratoribus reliquiae ,30 BCE-0 BCE,urn:cts:greekLit:tlg0081.tlg007.1st1K-grc1,Rhetoric,Halicarnassus
Dionysius Periegetes,"Alexandria, Egypt",100 CE-200 CE,Orbis Descriptio,100 CE,urn:cts:greekLit:tlg0084.tlg001.1st1K-grc1.xml,Geographical Texts,"""D. Periegetes From Alexandria, author of a geopgraphical poem, c. AD 100"""
"Dionysius, of Byzantium",Greece,200 CE,De Bospori Navigatione,200 CE,urn:cts:greekLit:tlg0083.tlg003.1st1K-grc1.xml,Geographical Texts,
Diophantus ,"Alexandria, Egypt",200 CE-300 CE,"Fragmentum [Sp.] (e cod. Paris. suppl. gr. 387, fol. 181r)",250 CE-280 CE,urn:cts:greekLit:tlg2039.tlg003.1st1K-grc1,Mathematical Texts,"""D. worked in Alexandria. He must have lived after  Hypsicles and before  Theon of Alexandria; it is generally assumed that his akmḗ was c. AD 250. """
Diophantus ,"Alexandria, Egypt",200 CE-300 CE,Fragmentum [Sp.] (e cod. Paris. 453),250 CE-280 CE,urn:cts:greekLit:tlg2039.tlg004.1st1K-grc1,Mathematical Texts,
Diophantus ,"Alexandria, Egypt",200 CE-300 CE,Fragmentum [Sp.] (e cod. Paris. gr. 2448),250 CE-280 CE,urn:cts:greekLit:tlg2039.tlg005.1st1K-grc1,Mathematical Texts,
Dorotheus of Sidon,"Sidon, Lebanon",0 CE-100 CE,Fragmenta alia antiqua,0 CE-100 CE,urn:cts:greekLit:tlg1337.tlg003.1st1K-grc1,Astrology,
Elias,"Alexandria, Egypt",600 CE,In Porphyrii isagogen,550 CE-600 CE,urn:cts:greekLit:tlg4020.tlg001.opp-grc1,Commentaries,"""The name of this Neoplatonic philosopher, known from Byzantine scholia and from authors and who lived in the 6th cent. AD, points to Christian 
origins. T"""
Elias,"Alexandria, Egypt",600 CE,Eliae (olim Davidis) in Aristotelis categorias commentarium,550 CE-600 CE,urn:cts:greekLit:tlg4020.tlg002.opp-grc1,Commentaries,
Epiphanius,"Constantia, Cyprus",400 CE,Ancoratus,374 CE,urn:cts:greekLit:tlg2021.tlg001.opp-grc1,Theology,"Birthplace: Besanduke\Beṯ Zedek, also spent some time active in Alexandria, Egypt. Dates for work taken from Brill's New Pauly"
Epiphanius,"Constantia, Cyprus",400 CE,Panarion (= Adversus haereses) ,377 CE,urn:cts:greekLit:tlg2021.tlg002.opp-grc1,Theology\Epistles,
Epiphanius,"Constantia, Cyprus",400 CE,Anacephalaeosis [Sp.],400 CE?,urn:cts:greekLit:tlg2021.tlg003.opp-grc1,Theology,
Epitaphium Sicili (Anonymous),Greece?,100 CE,Epitaphium Sicili Sicili Epitaphium,100 CE,urn:cts:greekLit:tlg2139.tlg001.opp-grc1,Musical theory,
Euclid,"Alexandria, Egypt",300 BCE,Data,300 BCE,urn:cts:greekLit:tlg1799.tlg007.First1K-grc1,Mathematical texts\Geometry,
Euclid,"Alexandria, Egypt",300 BCE,Data (demonstrationes alterae),300 BCE,urn:cts:greekLit:tlg1799.tlg008.First1K-grc1,Mathematical texts\Geometry,
Euclid,"Alexandria, Egypt",300 BCE,Phaenomena,300 BCE,urn:cts:greekLit:tlg1799.tlg012.1st1K-grc1,Mathematical texts\Geometry,
Euclid,"Alexandria, Egypt",300 BCE,Phaenomena (recensio b),300 BCE,urn:cts:greekLit:tlg1799.tlg013.1st1K-grc1,Mathematical texts\Geometry,
Euclid,"Alexandria, Egypt",300 BCE,Phaenomena (demonstrationes alterae recensionis b),300 BCE,urn:cts:greekLit:tlg1799.tlg014.1st1K-grc1,Mathematical texts\Geometry,
Euclid,"Alexandria, Egypt",300 BCE,Sectio canonis [Sp.],300 BCE,urn:cts:greekLit:tlg1799.tlg015.1st1K-grc1,Mathematical texts\Geometry,
Euclid,"Alexandria, Egypt",300 BCE,Epigramma,300 BCE,urn:cts:greekLit:tlg1799.tlg017.1st1K-grc1,Mathematical texts\Geometry,
Eunapius,"Sart, Manisa Province, Turkey",345 CE-420 CE,Vitae sophistarum,396 CE-399 CE,urn:cts:greekLit:tlg2050.tlg001.opp-grc1,Biographical texts\Hagiography,Dating taken from Brill.  Author from Sardeis
Eusebius,"Caesaeria, Israel",260 CE-340 CE,Praeperatio Evangelica,312 CE-322 CE,urn:cts:greekLit:tlg2018.tlg001.opp-grc1,Theology\Apologias,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,Historia Ecclesiastica,310 CE-326 CE,urn:cts:greekLit:tlg2018.tlg002.opp-grc2,Historical Texts\Ecclesiastical texts,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,Historia Ecclesiastica,310 CE-326 CE,urn:cts:greekLit:tlg2018.tlg002.opp-eng1,Historical Texts\Ecclesiastical texts,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,Historia Ecclesiastica,310 CE-326 CE,urn:cts:greekLit:tlg2018.tlg002.opp-grc3,Historical Texts\Ecclesiastical texts,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,De Martyribus Palaestinae (Recensio Brevior),311 CE-340 CE,urn:cts:greekLit:tlg2018.tlg003.opp-grc1,Hagiography,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,Demonstratio Evangelica,312 CE-322 CE,urn:cts:greekLit:tlg2018.tlg005.opp-grc1,Apologias,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,De Ecclesiastica Theologia,337 CE-340 CE,urn:cts:greekLit:tlg2018.tlg009.opp-grc1,Theology,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,De Theophania (Fragmenta),310 CE-340 CE,urn:cts:greekLit:tlg2018.tlg010.opp-ger1,Apologias,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,Vita Constantini ,335 CE-339 CE,urn:cts:greekLit:tlg2018.tlg020.opp-grc1,Biographical texts\Encomium,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,Constantini imperatoris oratio ad coetum sanctorum ,335 CE-339 CE,urn:cts:greekLit:tlg2018.tlg021.opp-grc1,Exegetical texts\Apologias,
Eusebius,"Caesaeria, Israel",260 CE-340 CE,De laudibus Constantini,335 CE-339 CE,urn:cts:greekLit:tlg2018.tlg022.opp-grc1,Encomium\Aplogia,
Eusebius ,"Caesaeria, Israel",260 CE-340 CE,De Theophania (Fragmenta),310 CE-340 CE,urn:cts:greekLit:tlg2018.tlg010.opp-grc1,Apologias,
Eusebius ,"Caesaeria, Israel",260 CE-340 CE,Onomasticon,300 CE-324 CE,urn:cts:greekLit:tlg2018.tlg011.opp-grc1,Lexicography\Geographical texts,
Eusebius ,"Caesaeria, Israel",260 CE-340 CE,Onomasticon,300 CE-324 CE,urn:cts:greekLit:tlg2018.tlg011.opp-lat1,Lexicography\Geographical texts,
Eustratius,"Iznik, Turkey",1050 CE-1117 CE,In Aristotelis ethica Nicomachea i commentaria,1080 CE-1117 CE,urn:cts:greekLit:tlg4031.tlg002.opp-grc1,Commentaries,"Nicaea, Bithynia, Constantinope"
Eutropius,"Rome, Italy",400 CE,Breviarium historiae romanae,365 CE-380 CE,urn:cts:greekLit:stoa0121.stoa001.opp-grc1,Historical Texts,
Evagrius Scholasticus,"Koile, Syria\Antakya, Turkey",600 CE,Historia Ecclesiastica,593-600 CE,urn:cts:greekLit:tlg2733.tlg001.1st1K-grc1,Historical Texts\Ecclesiastical texts,"Epiphaneia, Syria; Antioch, Orontes"
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De victu attenuante,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg019.opp-grc1,Medical Texts,"Pergamon, Aeolis now Bergama, İzmir Province, Turkey;  Also spent lots of time in Rome, Italy"
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,Adhortatio ad artes addiscendas,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg001.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,Protepticus,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg001.1st1K-grc2,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De optima doctrina,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg002.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,Quod optimus medicus sit quoque philosophus,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg003.1st1K-grc1,Medical Texts\Philosophy,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De sectis ad eos qui introducuntur,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg004.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De constitutione artis medicae ad Patrophilum,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg006.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,Ars Medica,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg007.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De elementis ex Hippocrate,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg008.1st1K-grc1,Medical Texts\Commentaries,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De temperamentis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg009.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De temperamentis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg009.1st1K-grc2,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De naturalibus facultatibus,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg010.1st1K-grc1,Medical Texts\Philosophy,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De anatomicis administrationibus libri ix ,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg011.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De ossibus ad tirones,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg012.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De venarum arteriarumque dissectione,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg013.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De nervorum dissectione,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg014.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De instrumento odoratus,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg015.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De uteri dissectione ,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg016.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De usu partium corporis humani I-XI,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg017.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De motu musculorum libri ii,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg018.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De victu attenuante,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg019.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De utilitate respirationis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg020.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De semine libri ii,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg021.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De foetuum formatione,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg022.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,An in arteriis natura sanguis contineatur,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg023.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De optima corporis nostri constitutione,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg024.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De bono habitu,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg025.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,Quod animi mores corporis temperamenta sequantur,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg027.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,"

De propriorum animi cuiuslibet affectuum dignotione et curatione",160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg028.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De animi cuiuslibet peccatorum dignotione et curatione,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg029.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De atra bile,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg030.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De usu pulsuum,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg031.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De placitis Hippocratis et Platonis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg032.1st1K-grc1,Medical Texts\Philosophy\Commentaries,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De parvae pilae exercitio,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg034.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De parvae pilae exercitio,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg034.1st1K-grc2,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De venereis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg035.1st1K-grc2,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De venereis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg035.1st1K-grc3,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De sanitate tuenda libri vi ,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg036.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De rebus boni malique suci,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg038.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De ptisana,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg039.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De dignotione ex insomniis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg040.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De morborum differentiis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg041.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De causis morborum liber,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg042.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De symptomatum differentiis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg043.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De symptomatum causis,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg044.1st1K-grc1,Medical Texts,
Galen,"Bergama, İzmir Province, Turkey",200 CE-300 CE,De differentiis febrium,160 CE-210 CE,urn:cts:greekLit:tlg0057.tlg045.1st1K-grc1,Medical Texts,
